,participant,session,id,condition,biotype,speaker,text,duration,running_duration,block,line_id
P001_S1_B2_L3,1,P001_S1,P001_S1_10,placebo,low,PARTICIPANT,"I didn’t feel pressure to be brilliant or especially emotive; I just let the system do what it does. I find that when I trust the compartments I’ve set up, it frees a kind of gentle closeness. I can turn toward a feeling without letting it take the wheel. That’s",30,330,2,P001_S1_B2_L3
P001_S1_B2_L4,1,P001_S1,P001_S1_11,placebo,low,PARTICIPANT,"the balance I want: the task lane rolling along, the feeling lane humming, and a quiet message to both that neither is more important than the other today. I like the predictability of it—like I know where everything goes, and so I can relax. After we wrapped, I kept the",30,360,2,P001_S1_B2_L4
P001_S1_B2_L5,1,P001_S1,P001_S1_12,placebo,low,PARTICIPANT,"feeling lane active instead of shutting it. I put a half-hour block on my evening—nothing fancy, just space to sit and let whatever I tagged arrive. I told my partner I might be a bit reflective after dinner, and I asked for a small hug at the doorway before we",30,390,2,P001_S1_B2_L5
P001_S1_B2_L6,1,P001_S1,P001_S1_13,placebo,low,PARTICIPANT,"go into our usual conversation puzzles. That hug is like opening the gate for the feeling lane: it tells my body and mind we’re moving from “doing” into “allowing.” When I do that, the afterglow lasts. I stay softer for days. I notice I reach for people a little more.",30,420,2,P001_S1_B2_L6
P001_S1_B2_L7,1,P001_S1,P001_S1_14,placebo,low,PARTICIPANT,"I notice I’m more likely to linger in the kitchen after breakfast and touch someone’s shoulder. It isn’t fireworks; it’s like a low light that stays on, making the room feel livable. This past week was a good example of how that structure carries. I kept sprinkling five-minute check-ins through",30,450,2,P001_S1_B2_L7
P001_S1_B2_L8,1,P001_S1,P001_S1_15,placebo,low,PARTICIPANT,"the day—little walkabouts where I’d mentally ask, “What’s in the lane? What can pass? What needs to park?” I’ll literally step into the hallway, lean against the wall, and let one bead of feeling roll through. Then I return to my desk. It doesn’t derail me. If anything, it keeps",30,480,2,P001_S1_B2_L8
P001_S1_B3_L1,1,P001_S1,P001_S1_16,placebo,low,PARTICIPANT,"me from building pressure. By the weekend, I’m not bursting. I’m just…available. My niece asked me to braid her hair on Sunday, and I found myself more patient with the tangles. That came right out of the lane staying open: because I hadn’t clogged it or closed it, I had",30,510,3,P001_S1_B3_L1
P001_S1_B3_L2,1,P001_S1,P001_S1_17,placebo,low,PARTICIPANT,"warmth left to hand out. Another thing I notice is that the “later” lane changes the tone of my evenings. Instead of scrolling, I’ll keep a little list next to my bed—two or three tags I parked earlier. I set a timer for ten minutes and let one of them",30,540,3,P001_S1_B3_L2
P001_S1_B3_L3,1,P001_S1,P001_S1_18,placebo,low,PARTICIPANT,"have the floor. If it’s grief, I let it be heavy without analyzing. If it’s joy, I let it bubble. When the timer dings, I say, “You’ll get more time tomorrow,” and I keep the trust intact. That promise matters. It turns my week into a series of small commitments",30,570,3,P001_S1_B3_L3
P001_S1_B3_L4,1,P001_S1,P001_S1_19,placebo,low,PARTICIPANT,"to feeling, and it keeps the afterglow alive. I end up hugging my partner more freely, being quicker to say yes to a walk, and less likely to armor up in conversations. It shows up in the tiny choices. Even right now as we talk, I’m using that same structure.",30,600,3,P001_S1_B3_L4
P001_S1_B3_L5,1,P001_S1,P001_S1_20,placebo,low,PARTICIPANT,"There’s the lane where I’m answering you, which stays clear and simple. And nested alongside is the lane where I’m letting small textures pass—like a thin thread of warmth in my chest when I said “washing apples.” I’m not milking it; I’m just letting it be there so I can",30,630,3,P001_S1_B3_L5
P001_S1_B3_L6,1,P001_S1,P001_S1_21,placebo,low,PARTICIPANT,"be honest about what’s present. If the thread thickens, I’ll tag it and come back to you. That rhythm feels respectful to both of us. You get me present and articulate; I get to remain emotionally honest without tipping over. It’s not performative, just organized. Physically, today felt straightforward, which",30,660,3,P001_S1_B3_L6
P001_S1_B3_L7,1,P001_S1,P001_S1_22,placebo,low,PARTICIPANT,"actually made it easier to lean on the structure. With nothing pulling me off center, I could set the dials where I wanted them. I chose “gentle openness” and kept it there. That was enough. I didn’t need to push for anything dramatic. I also didn’t feel like I had",30,690,3,P001_S1_B3_L7
P001_S1_B3_L8,1,P001_S1,P001_S1_23,placebo,low,PARTICIPANT,"to shut anything down. The lanes did the work. And because I’m not wrestling with whether something is big enough or interesting enough to deserve time, I’m less likely to overthink. If it shows up, it gets a folder. If it hums, it gets to hum. If it knocks, I",30,720,3,P001_S1_B3_L8
P001_S1_B4_L1,1,P001_S1,P001_S1_24,placebo,low,PARTICIPANT,"schedule it. That’s my whole theology of feeling. There’s a social piece here, too. When I keep a lane open, I listen better. It’s like there’s a reserved chair at the table for my emotions, so they don’t have to interrupt. That translates into me giving more space to the",30,750,4,P001_S1_B4_L1
P001_S1_B4_L2,1,P001_S1,P001_S1_25,placebo,low,PARTICIPANT,"person in front of me. At dinner, my partner told me a story I’ve heard pieces of before, and instead of jumping in with solutions, I found myself saying, “Tell me more,” and really meaning it. The feeling lane holds my reactions so my words can be clean. Later, when",30,780,4,P001_S1_B4_L2
P001_S1_B4_L3,1,P001_S1,P001_S1_26,placebo,low,PARTICIPANT,"we went to bed, I could bring my own feelings with clarity, not as a burst of pent-up stuff. That sequence—listen fully, share cleanly—comes from the bandwidth plan. Over the next few days, I’ll keep the pattern. I already made small calendar notes: tomorrow morning, five minutes with that “apples”",30,810,4,P001_S1_B4_L3
P001_S1_B4_L4,1,P001_S1,P001_S1_27,placebo,low,PARTICIPANT,"scene; Friday night, a longer sit with a tenderness I felt around my sister; Sunday afternoon, a check-in walk with myself before I see friends. These aren’t chores; they’re like watering plants. When I water regularly, everything in the house feels vibrant. I end up saying yes to small invitations,",30,840,4,P001_S1_B4_L4
P001_S1_B4_L5,1,P001_S1,P001_S1_28,placebo,low,PARTICIPANT,"like sitting on the floor with my niece to play cards, or sending a quick “thinking of you” text to a friend who crossed my mind. It’s the same energy reallocated—less spent on managing, more on relating. Something I appreciate is how this structure protects me from all-or-nothing swings. Instead",30,870,4,P001_S1_B4_L5
P001_S1_B4_L6,1,P001_S1,P001_S1_29,placebo,low,PARTICIPANT,"of treating today as the only window when feelings are allowed, I treat today as the opening of a week-long arc. The arc is smooth: begin, attend, return, repeat. So if a feeling today is shy or slow, it still gets a promise of future airtime. That takes away pressure.",30,900,4,P001_S1_B4_L6
P001_S1_B4_L7,1,P001_S1,P001_S1_30,placebo,low,PARTICIPANT,"I notice my shoulders drop. I can feel a good kind of discipline about it. Not stiff, just reliable—like I’m the kind of person who shows up for my own inner world on schedule. That identity shift matters to me. It’s what makes these sessions, even quieter ones, translate into",30,930,4,P001_S1_B4_L7
P001_S1_B4_L8,1,P001_S1,P001_S1_31,placebo,low,PARTICIPANT,"life. I also like to add a very simple ritual to anchor the lane—something tactile. This week I moved a small stone from my desk to my pocket. When I touch it, I ask, “What’s in the lane?” and I give whatever answers two breaths. I don’t interrogate. If nothing’s",30,960,4,P001_S1_B4_L8
P001_S1_B5_L1,1,P001_S1,P001_S1_32,placebo,low,PARTICIPANT,"there, I respect the emptiness as a form of arrival. If something is there, I let it crest a little and then I move on. That tiny ritual keeps me honest without making a show of it. It’s portable. It helps me in places where I can’t do a full",30,990,5,P001_S1_B5_L1
P001_S1_B5_L2,1,P001_S1,P001_S1_33,placebo,low,PARTICIPANT,"sit, like in line or on a bus. The cumulative effect is that the afterglow isn’t a mood; it’s a tone, kept alive by attention. One more thing I notice is the way this changes my body language with people I love. I’m more likely to reach out first—an arm",30,1020,5,P001_S1_B5_L2
P001_S1_B5_L3,1,P001_S1,P001_S1_34,placebo,low,PARTICIPANT,"around a shoulder, a hand on a back. I have more easy laughter. I let silence sit longer without trying to fix it. Those are small, observable changes that come from having that lane open. It’s like my nervous system believes me when I say, “We’ll keep making space for",30,1050,5,P001_S1_B5_L3
P001_S1_B5_L4,1,P001_S1,P001_S1_35,placebo,low,PARTICIPANT,"this,” and so it stops bracing. Then connection gets simpler. Even at work, I notice I soften my voice around noon and check in with a colleague in a warmer way. It’s not a strategy; it’s a byproduct of not being flooded or starved emotionally. So, for tonight, I’ll keep",30,1080,5,P001_S1_B5_L4
P001_S1_B5_L5,1,P001_S1,P001_S1_36,placebo,low,PARTICIPANT,"it gentle. I’ve got that ten-minute window for the “apples” memory. I’ll sit with it and let whatever ache is there be there. Then I’ll write one sentence to future me—“Revisit this on Saturday”—and close it with gratitude. I’ll ask for that doorway hug again, because it helps mark the",30,1110,5,P001_S1_B5_L5
P001_S1_B5_L6,1,P001_S1,P001_S1_37,placebo,low,PARTICIPANT,"shift into the feeling lane. And I’ll keep the stone in my pocket tomorrow. If I hold to that, I know I’ll feel the afterglow in the ways that matter: a little more patience with myself, a little more generosity with others, a sense of being able to hold two",30,1140,5,P001_S1_B5_L6
P001_S1_B5_L7,1,P001_S1,P001_S1_38,placebo,low,PARTICIPANT,"things at once without splitting apart. That’s the heart of it for me—allocating bandwidth on purpose so feeling has a rightful place, not an emergency exit. It keeps me steady here, and it keeps me soft later. I don’t need anything loud to happen for it to work. I just",30,1170,5,P001_S1_B5_L7
P001_S1_B5_L8,1,P001_S1,P001_S1_39,placebo,low,PARTICIPANT,"need to keep the lanes painted, the meter fair, the promises kept. When I do that, the rest of my life feels more breathable. And that’s the outcome I’m after: a life where tenderness isn’t squeezed out by tasks, and tasks aren’t drowned by tenderness. Both get to move, side",30,1200,5,P001_S1_B5_L8
P001_S1_B5_L9,1,P001_S1,P001_S1_40,placebo,low,PARTICIPANT,"by side, with me as the one setting the pace.",30,1230,5,P001_S1_B5_L9
P002_S1_B1_L1,2,P002_S1,P002_S1_0,placebo,high,PARTICIPANT,"Okay, so right now I’m noticing a kind of pulsing in my attention—like I’ll get a few seconds where I’m honed in, almost tunnel-vision on your face and the edges blur, and then it relaxes and I get a soft, slightly floaty drift. It’s not dramatic, it’s more like a",30,30,1,P002_S1_B1_L1
P002_S1_B1_L2,2,P002_S1,P002_S1_1,placebo,high,PARTICIPANT,"gentle oscillation every 20–30 seconds. I’m trying to time my sentences to land during the “honed in” phase so I don’t ramble. If I go quiet for a beat, that’s me waiting for the focus crest. Physically, I’m pretty level. No jaw clench, no overt tremor. Hands are steady when",30,60,1,P002_S1_B1_L2
P002_S1_B1_L3,2,P002_S1,P002_S1_2,placebo,high,PARTICIPANT,"I hold them out—see, no micro-shakes beyond baseline. My mouth isn’t dry; actually my tongue feels normal slickness. Temperature feels neutral to slightly cool in the fingers, not that MDMA fingertip warmth people talk about. Could we note pupil size? If you’ve got a light on your phone, I’m curious",30,90,1,P002_S1_B1_L3
P002_S1_B1_L4,2,P002_S1,P002_S1_3,placebo,high,PARTICIPANT,"whether my pupils are baseline. It would help me triangulate whether there’s even a mild stimulant co-formulation here. If there were caffeine in the capsule, I’d expect a little sympathetic tone—faster blink rate, maybe that fine-grain jaw tension. I’m not getting that. Before the faces task started, I noticed a",30,120,1,P002_S1_B1_L4
P002_S1_B1_L5,2,P002_S1,P002_S1_4,placebo,high,PARTICIPANT,"yawn impulse building—classic pre-scan drowsiness. I did a quick reset: two deep diaphragmatic breaths, slow exhale to bring parasympathetic down, then one brisk inhale to tighten focus. Worked enough that I could push for accuracy. I’m aiming for 100% on that faces/places block. When the blocks flipped quickly I had",30,150,1,P002_S1_B1_L5
P002_S1_B1_L6,2,P002_S1,P002_S1_5,placebo,high,PARTICIPANT,"a micro-lapse where I almost mis-categorized a neutral expression as slightly angry—caught it and corrected. I’m attributing that to the down-slope of one of those attention waves rather than the drug, because it coincided exactly with that floaty phase I mentioned. If I compare to my last session, my vigilance",30,180,1,P002_S1_B1_L6
P002_S1_B1_L7,2,P002_S1,P002_S1_6,placebo,high,PARTICIPANT,"is better right now, even though I slept about the same. I’m tracking error signals in real time—like a little internal “red flag” when a response feels rushed versus crisp. When it feels rushed I’m building a short buffer: I wait a half-beat, then commit. That one tweak cut my",30,210,1,P002_S1_B1_L7
P002_S1_B1_L8,2,P002_S1,P002_S1_7,placebo,high,PARTICIPANT,"near-misses by half. If we can flag those time stamps I’d like to see my reaction time distribution later, to see if the buffer shows up as a rightward shift without increasing variance. Ideally I’ve got a tighter cluster with slightly longer mean RT but higher accuracy—basically trading speed for",30,240,1,P002_S1_B1_L8
P002_S1_B2_L1,2,P002_S1,P002_S1_8,placebo,high,PARTICIPANT,"precision intentionally. On the capsule itself: I’m leaning placebo. My heart rate feels resting or slightly below my lab-day average, not that anticipatory notch up I get after coffee. Also, no thermoregulatory weirdness—no sudden warmth along the neck or ears. If there were electrolytes or glucose in the formulation, I",30,270,2,P002_S1_B2_L1
P002_S1_B2_L2,2,P002_S1,P002_S1_9,placebo,high,PARTICIPANT,"might expect a subtle uptick in energy or a change in mouthfeel; I’m not getting a sweet aftertaste that would hint at dextrose. I realize taste is controlled, but still—my palate’s clean. Can we log that I requested a pupil check and jaw-tone check? It’ll be interesting to compare to",30,300,2,P002_S1_B2_L2
P002_S1_B2_L3,2,P002_S1,P002_S1_10,placebo,high,PARTICIPANT,"objective vitals once unblinded. I will say, the scanner’s hum has a slight lullaby effect, and about ten minutes in I had a micro-sleep pressure building behind my eyes—eyelids felt heavy, like a half-glaze. I countered with a blink strategy: three quick blinks to reset tear film, then focus on",30,330,2,P002_S1_B2_L3
P002_S1_B2_L4,2,P002_S1,P002_S1_11,placebo,high,PARTICIPANT,"the fixation cross to anchor saccades. When I did that, my awareness snapped into a narrower beam and the edges of the screen dimmed subjectively—like my pupils dilated subjectively, even if they didn’t objectively. Then the beam widened again and I felt my attention spill out into the room—noticed your",30,360,2,P002_S1_B2_L4
P002_S1_B2_L5,2,P002_S1,P002_S1_12,placebo,high,PARTICIPANT,"pen tapping, the HVAC whir, the faint rubber smell of the tubing. That’s the oscillation I’m talking about. I don’t think it’s pharmacologic; I think it’s context-plus-fatigue. I want to emphasize—because I know there’s a stereotype that MDMA makes people sloppy—my focus on task feels intact. Even if I had",30,390,2,P002_S1_B2_L5
P002_S1_B2_L6,2,P002_S1,P002_S1_13,placebo,high,PARTICIPANT,"been given active drug, I’d still aim for precision. That’s kind of my default: I’m tracking my own performance as I go. If I sense fuzziness in working memory, I actively chunk the stimuli—like in the n-back, I mentally tag each item with a letter-sound to pin it briefly. Today",30,420,2,P002_S1_B2_L6
P002_S1_B2_L7,2,P002_S1,P002_S1_14,placebo,high,PARTICIPANT,"I didn’t need it much, but I had it ready. Quick body scan: scalp neutral, no tingling; jaw relaxed, I can tap my molars without any clench; neck and trapezius loose; chest steady, no flutter; abdomen calm—no “butterflies,” which would suggest sympathetic activation; hands cool but not cold. Can I",30,450,2,P002_S1_B2_L7
P002_S1_B2_L8,2,P002_S1,P002_S1_15,placebo,high,PARTICIPANT,"get a rough heart rate reading later? I’m guessing mid-60s. If it’s lower, maybe the environment is doing a parasympathetic thing. If it’s higher, I’d rethink the caffeine hypothesis, but subjectively I doubt it. On the relational piece—just to be explicit because I’m thinking about it—I’m keeping myself in a",30,480,2,P002_S1_B2_L8
P002_S1_B3_L1,2,P002_S1,P002_S1_16,placebo,high,PARTICIPANT,"kind of professional lane with you all. I can feel a pull to be more casual, to joke or overshare, but I’m checking that because this isn’t hanging out with a friend. I notice I test the water sometimes—like I’ll say something a bit personal and then I watch whether",30,510,3,P002_S1_B3_L1
P002_S1_B3_L2,2,P002_S1,P002_S1_17,placebo,high,PARTICIPANT,"you respond in a genuinely human way or in the “professional nod.” When I see the nod, I dial myself back and keep it clinical. That helps me respect the boundary and also not make it awkward for you. So if I seem a little hermetic at times, that’s intention,",30,540,3,P002_S1_B3_L2
P002_S1_B3_L3,2,P002_S1,P002_S1_18,placebo,high,PARTICIPANT,"not distance. Also, I’m curious—this is a content question but framed within the boundary: is it okay if I ask about the blinding procedures now or do you prefer I keep that for debrief? I don’t want to push outside protocol. I can bracket the curiosity until the end; just",30,570,3,P002_S1_B3_L3
P002_S1_B3_L4,2,P002_S1,P002_S1_19,placebo,high,PARTICIPANT,"flagging that I’m aware of the roles here. I’m trying to give you high-fidelity data without turning this into a social exchange that muddies the frame. Back to the oscillation. I’m going to close my eyes for two breaths right now—one, two—and I can feel the heaviness lean in, like",30,600,3,P002_S1_B3_L4
P002_S1_B3_L5,2,P002_S1,P002_S1_20,placebo,high,PARTICIPANT,"a tide coming up. If we were mid-task that would be dangerous for accuracy. So the counter I’ve been using is to subtly shift posture, straighten the thoracic spine, and set a micro-intention on the next target. When I do that, it’s like my attentional aperture tightens by one click.",30,630,3,P002_S1_B3_L5
P002_S1_B3_L6,2,P002_S1,P002_S1_21,placebo,high,PARTICIPANT,"I get that sense of being honed in—the “pupils dilated” metaphor again—even if that’s just subjective. If you did shine a light right now, I predict normal constriction, nothing paradoxical. Any hint of euphoria or sociability spike? No. I feel even-keeled, maybe slightly more analytic because I’m explicitly monitoring. If",30,660,3,P002_S1_B3_L6
P002_S1_B3_L7,2,P002_S1,P002_S1_22,placebo,high,PARTICIPANT,"there were a serotonergic effect, I’d expect a warmth in social perception—faces seeming friendlier. On the face stimuli, I didn’t see that bias; if anything, I erred on the conservative side. I chose “neutral” when uncertain rather than over-assigning positive valence. That choice was deliberate to safeguard accuracy. I’m also",30,690,3,P002_S1_B3_L7
P002_S1_B3_L8,2,P002_S1,P002_S1_23,placebo,high,PARTICIPANT,"watching my language for drift. On active sessions some people get looser or more tangential. I’m not noticing tangents unless I let that focus wave drop. When it dips, I can feel word-finding get sticky, not in a pathological way, just slightly less crisp. Then I pause, wait for the",30,720,3,P002_S1_B3_L8
P002_S1_B4_L1,2,P002_S1,P002_S1_24,placebo,high,PARTICIPANT,"“crest,” and proceed. If you map my speech rate, you might see a mild sinusoidal pattern. Hydration-wise, my mouth is fine; no urge to sip, which again argues against anything dehydrating or sympathomimetic. If I had to hypothesize a mechanism for what I am feeling, I’d say expectancy plus environment.",30,750,4,P002_S1_B4_L1
P002_S1_B4_L2,2,P002_S1,P002_S1_25,placebo,high,PARTICIPANT,"Maybe a tiny placebo-driven sympathetic tick that I’m suppressing by self-regulation. If there were any co-formulation with electrolytes or a mild sugar, I’d expect a small bump in subjective energy at around 20 minutes post, and that never came. Metabolically, I had a stable breakfast—protein and complex carbs—so glucose variability",30,780,4,P002_S1_B4_L2
P002_S1_B4_L3,2,P002_S1,P002_S1_26,placebo,high,PARTICIPANT,"should be minimal. No hypoglycemic edge—no hollow feeling, no irritable twinge. During the memory list, I intentionally used first-letter pegs to ensure near-perfect recall. I got momentarily drowsy on item eight, felt the “uh-oh” flag, and pivoted to repeating eight and nine silently with a rhythm to keep them sticky.",30,810,4,P002_S1_B4_L3
P002_S1_B4_L4,2,P002_S1,P002_S1_27,placebo,high,PARTICIPANT,"For the recognition phase, when a lure looked familiar, I checked whether it had the same internal tag I’d assigned—if not, I withheld. That saved me from one false positive I almost clicked. Again, I’m pushing for 100%. I want to acknowledge the interpersonal contour again because it’s live. You’re",30,840,4,P002_S1_B4_L4
P002_S1_B4_L5,2,P002_S1,P002_S1_28,placebo,high,PARTICIPANT,"being warm in a measured way, and I respect that. It communicates safety but also the boundary. I notice a part of me wanting to ask you personal stuff—what music you like, how you got into this—but that’s not for here. So I’m letting that impulse just pass. If I",30,870,4,P002_S1_B4_L5
P002_S1_B4_L6,2,P002_S1,P002_S1_29,placebo,high,PARTICIPANT,"seem to over-correct and go quiet, it’s me choosing professionalism over chumminess. I’d like to request, if permissible, that we do a quick vitals check before I leave—not because I’m worried, just to anchor my subjective read. Heart rate, maybe a pupil photo if that’s allowed. It would help me",30,900,4,P002_S1_B4_L6
P002_S1_B4_L7,2,P002_S1,P002_S1_30,placebo,high,PARTICIPANT,"test my mini-hypotheses. If we can’t, no worries; I’ll save the curiosity for debrief. Noticing another wave—sleepiness nibbling at the edges. I’m going to do that blink-triplet again. Okay, better. The air feels a touch cool on inhale, which is alerting. If this were an active pharmacologic vasoconstriction, I’d expect",30,930,4,P002_S1_B4_L7
P002_S1_B4_L8,2,P002_S1,P002_S1_31,placebo,high,PARTICIPANT,"colder fingertips coupled with slight restlessness. I have neither. So: placebo by preponderance of evidence. One more thing on performance: I don’t want the goal of 100% to make me rigid, so I’m balancing it with flexibility. If I sense I’m overfitting—locking too tightly on a rule—I’ll loosen just enough",30,960,4,P002_S1_B4_L8
P002_S1_B5_L1,2,P002_S1,P002_S1_32,placebo,high,PARTICIPANT,"to keep fluidity. That’s part of why I’m narrating my state to you: it keeps me honest about when I’m genuinely sharp versus when I’m compensating. A quick check-in on jaw again—still relaxed. Tongue isn’t pressing the palate. If I had any serotonin-driven bruxism, it usually shows up as a",30,990,5,P002_S1_B5_L1
P002_S1_B5_L2,2,P002_S1,P002_S1_33,placebo,high,PARTICIPANT,"subtle tongue-palate press. Nothing. Pupils feel—again, metaphorically—about right. If you tell me later they were big, I’ll eat my words, but I’d be surprised. For the scanner task, in the block where the fixation cross went slightly off-center, my attention got pulled, and I almost missed the next cue. After",30,1020,5,P002_S1_B5_L2
P002_S1_B5_L3,2,P002_S1,P002_S1_34,placebo,high,PARTICIPANT,"that I set a rule: anchor to the center even if peripheral stimulus is noisy. That tightened my responses. I think if you look at that block, you’ll see an early wobble then a clean run. I’m cleanly sober-feeling, in case that’s useful. Alert enough to engage, without any amp-like",30,1050,5,P002_S1_B5_L3
P002_S1_B5_L4,2,P002_S1,P002_S1_35,placebo,high,PARTICIPANT,"edge, and with these mild, manageable attention oscillations that feel endogenous. If there’s any pharmacology here it’s subtle to the point of negligible. Placebo seems most likely. I’m also aware of not wanting to perform “good participant friendliness” too hard. There’s a way I could smile more, be more chatty,",30,1080,5,P002_S1_B5_L4
P002_S1_B5_L5,2,P002_S1,P002_S1_36,placebo,high,PARTICIPANT,"and get a reciprocal warmth back from you; I’m actively avoiding that because it would blur the frame and might influence how I report. So if the vibe feels a touch formal, that’s by design on my end. I want clean data. I can be friendly at the debrief when",30,1110,5,P002_S1_B5_L5
P002_S1_B5_L6,2,P002_S1,P002_S1_37,placebo,high,PARTICIPANT,"the roles open up a bit. I think that’s my main read. If we have another block, I’m ready. I’ll keep using the breath-sit up-blink reset to stay in the high-focus windows, and I’ll prioritize accuracy. If I get a sleepy surge mid-block, I’ll label it out loud so you",30,1140,5,P002_S1_B5_L6
P002_S1_B5_L7,2,P002_S1,P002_S1_38,placebo,high,PARTICIPANT,"can mark the time. And after, if permissible, I’d love those vitals: heart rate, maybe a quick look at my pupils, and any notes you can share post-unblinding about whether today was indeed placebo. My bet is yes. Let me sit silent for five seconds to see what my attention",30,1170,5,P002_S1_B5_L7
P002_S1_B5_L8,2,P002_S1,P002_S1_39,placebo,high,PARTICIPANT,"does… okay—there it goes: dip, crest, and now I’m back at that honed-in place. Ready for whatever’s next, aiming for that 100% without getting rigid. And holding the professional line with you—appreciate the steadiness of your role.",30,1200,5,P002_S1_B5_L8
P003_S2_B1_L1,3,P003_S2,P003_S2_0,mdma_high,low,PARTICIPANT,"Um, okay. I can start. I’m a little… cautious about taking up too much space, so if at any point this feels like I’m going on, please just let me know, and I can pause. I don’t want to make it awkward or impose anything on you. The room feels",30,30,1,P003_S2_B1_L1
P003_S2_B1_L2,3,P003_S2,P003_S2_1,mdma_high,low,PARTICIPANT,"fine—maybe a touch cool—but that’s actually comfortable. My voice might be softer than usual; I don’t feel super chatty. It’s more… quiet inside. Not in a bad way. Just steady. Compared to earlier times I’ve done this, I’m definitely less talkative. I remember being more open or energetic before, and",30,60,1,P003_S2_B1_L2
P003_S2_B1_L3,3,P003_S2,P003_S2_2,mdma_high,low,PARTICIPANT,"now it’s like everything is in low volume. There’s a mild warmth, like a small lamp in another room, but not that big rush people talk about. I don’t feel like hugging anyone or being overly affectionate. I’m actually very aware of your space. I like… keeping a respectful distance.",30,90,1,P003_S2_B1_L3
P003_S2_B1_L4,3,P003_S2,P003_S2_3,mdma_high,low,PARTICIPANT,"I want to check that I’m not looking at you too intensely, or too little. I’m not sure what’s comfortable, so I’m kind of… hovering at neutral. Is this okay? Emotionally, it’s kind of even. Pleasant, but not euphoric. I’m not pulled to share every private detail; I notice a",30,120,1,P003_S2_B1_L4
P003_S2_B1_L5,3,P003_S2,P003_S2_4,mdma_high,low,PARTICIPANT,"tug towards privacy, like a soft curtain I could part—if asked—but I’m not throwing it open. I keep thinking about being considerate and not putting anything heavy on you. I’d rather sit with my thoughts a bit before saying them out loud, just to make sure they’re… appropriate. I guess",30,150,1,P003_S2_B1_L5
P003_S2_B1_L6,3,P003_S2,P003_S2_5,mdma_high,low,PARTICIPANT,"I feel mellow plus guarded, but in a caring way. I don’t want to waste your time or burden you. The lab context makes me hold back. I’m aware of, like, the hum of the equipment, the way sound carries in here. There’s a part of me that wonders who",30,180,1,P003_S2_B1_L6
